Player Name,Club,Nationality,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,Conversion %,Big Chances Missed,Hit Woodwork,Offsides,Touches,Passes,Successful Passes,Passes%,Crosses,Successful Crosses,Crosses %,fThird Passes,Successful fThird Passes,fThird Passes %,Through Balls,Carries,Progressive Carries,Carries Ended with Goal,Carries Ended with Assist,Carries Ended with Shot,Carries Ended with Chance,Possession Won,Dispossessed,Clean Sheets,Clearances,Interceptions,Blocks,Tackles,Ground Duels,gDuels Won,gDuels %,Aerial Duels,aDuels Won,aDuels %,Goals Conceded,xGoT Conceded,Own Goals,Fouls,Yellow Cards,Red Cards,Saves,Saves %,Penalties Saved,Clearances Off Line,Punches,High Claims,Goals Prevented,Desarmes por 90m,Intercept por 90m,Bolas zeradas po 90m,Bloqueios por 90m,Duelos no chão por 90m,Duelos aereos por 90m,Versatilidade defensiva,Desarmes sucesso %,Impacto de Posse,Segurança Defensiva,Passes por 90m,Quebra de linha por 90m,Condução por 90m,Condução ao ataque por 90m,Assistencias por 90m,Conduções que geraram assistencia por 90m,Eficacia com a bola,Gols por 90m,Chutes por 90m,Chutes ao gol por 90m,Grandes chances perdidas por 90m,Gols por Assistência
Mateus Fernandes,Southampton,Portugal,MID,36,2919,2,4,42,44,14%,6,0,4,1918,949,753,79%,59,10,17%,432,301,70%,14,441,277,4,4,34,23,125,36,1,0,17,1,89,352,170,48%,42,13,31%,0,0,0,46,8,0,0,0%,0,0,0,0,0.0,2.7440904419321686,0.5241521068859198,0.0,0.030832476875642344,10.853031860226105,1.2949640287769786,8.380952380952381,0.6592592592592592,3.4722222222222223,3.4722222222222223,29.260020554984585,0.4316546762589928,13.597122302158274,8.54059609455293,0.12332990750256938,8.663926002055499,3.4722222222222223,0.06166495375128469,1.2949640287769786,1.3566289825282631,0.18499486125385406,0.5
Paul Onuachu,Southampton,Nigeria,FWD,25,1044,4,0,34,17,7%,5,1,10,494,731,648,89%,108,34,32%,366,315,86%,0,406,219,0,4,23,22,81,36,0,16,9,2,7,197,89,45%,43,12,28%,0,0,0,28,4,0,0,0%,0,0,0,0,0.0,0.603448275862069,0.7758620689655172,1.379310344827586,0.17241379310344826,16.982758620689655,3.706896551724138,4.5813953488372094,0.2,2.25,2.25,63.01724137931035,0.0,35.0,18.879310344827587,0.0,18.879310344827587,2.25,0.3448275862068965,2.9310344827586206,1.4655172413793103,0.43103448275862066,
Ronnie Edwards,Southampton,England,DEF,1,12,0,0,0,0,0%,0,0,0,6,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Ross Stewart,Southampton,Scotland,FWD,12,385,1,0,9,0,0%,1,0,1,161,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,9,0,6,0,0,6,0,0,0%,0,0,0%,0,0,0,7,1,0,0,0%,0,0,0,0,0.0,1.4025974025974026,0.0,1.4025974025974026,0.0,0.0,0.0,,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23376623376623376,2.103896103896104,0.0,0.23376623376623376,
Ryan Fraser,Southampton,Scotland,MID,8,306,0,0,1,0,0%,0,0,1,138,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,2,0,8,0,0,6,0,0,0%,0,0,0%,0,0,0,1,0,1,0,0%,0,0,0,0,0.0,1.7647058823529411,0.0,2.3529411764705883,0.0,0.0,0.0,,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.0,0.0,
Ryan Manning,Southampton,Ireland,DEF,24,1468,0,1,8,7,0%,0,0,0,1027,2309,2165,94%,3,0,0%,522,459,88%,0,714,397,0,0,4,0,78,5,0,40,20,20,0,47,27,57%,71,37,52%,0,0,0,19,2,0,0,0%,0,1,0,0,0.0,0.0,1.2261580381471389,2.4523160762942777,1.2261580381471389,2.8814713896457764,4.352861035422343,0.6619718309859155,0.0,15.6,15.6,141.55994550408718,0.0,43.77384196185286,24.33923705722071,0.061307901907356945,24.400544959128066,15.6,0.0,0.49046321525885556,0.42915531335149865,0.0,0.0
Sam Amo-Ameyaw,Southampton,England,MID,2,26,0,0,1,0,0%,0,0,0,19,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0%,0,0,0%,0,0,0,1,1,0,0,0%,0,0,0,0,0.0,3.4615384615384617,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4615384615384617,0.0,0.0,
Samuel Edozie,Southampton,England,MID,2,64,0,0,0,0,0%,0,0,0,46,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0%,0,0,0%,0,0,0,2,1,0,0,0%,0,0,0,0,0.0,4.21875,0.0,0.0,0.0,0.0,0.0,,0.6,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Taylor Harwood-Bellis,Southampton,England,DEF,34,2828,1,0,20,9,15%,2,0,0,2522,1840,1631,89%,12,2,17%,589,472,80%,6,455,244,1,0,3,4,138,5,3,140,35,9,0,244,144,59%,56,28,50%,0,0,0,35,9,0,0,0%,0,3,0,0,0.0,0.0,1.113861386138614,4.455445544554456,0.28642149929278643,7.765205091937765,1.7821782178217822,4.357142857142857,0.0,27.6,27.6,58.55728429985856,0.19094766619519093,14.48019801980198,7.765205091937765,0.0,7.765205091937765,27.6,0.03182461103253183,0.6364922206506365,0.28642149929278643,0.06364922206506365,
Tyler Dibling,Southampton,England,FWD,33,1874,2,0,28,3,0%,2,2,2,1004,1025,754,74%,105,19,18%,306,204,67%,0,260,158,0,2,5,8,168,55,0,16,19,12,34,222,132,60%,41,20,49%,0,0,0,0,6,0,0,0%,0,0,0,0,0.0,1.632870864461046,0.9124866595517609,0.768409818569904,0.576307363927428,10.661686232657416,1.969050160085379,5.414634146341464,1.0,3.0545454545454547,3.0545454545454547,49.226254002134475,0.0,12.48665955176094,7.588046958377801,0.0,7.588046958377801,3.0545454545454547,0.096051227321238,1.3447171824973319,0.144076840981857,0.096051227321238,
Welington,Southampton,Brazil,DEF,10,480,0,0,3,0,0%,0,0,1,293,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,4,0,33,0,0,21,0,0,0%,0,0,0%,0,0,0,6,1,0,0,0%,0,0,0,0,0.0,3.9374999999999996,0.0,6.187500000000001,0.0,0.0,0.0,,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,
Will Smallbone,Southampton,Ireland,MID,18,682,1,0,7,0,0%,0,1,0,447,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,6,0,14,0,0,20,0,0,0%,0,0,0%,0,0,0,11,1,0,0,0%,0,0,0,0,0.0,2.6392961876832848,0.0,1.847507331378299,0.0,0.0,0.0,,0.6451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13196480938416422,0.9237536656891495,0.0,0.0,
Yukinari Sugawara,Southampton,Japan,DEF,30,1555,1,0,14,4,18%,0,0,4,1095,846,753,89%,2,1,50%,203,162,80%,2,260,110,0,0,1,2,85,5,0,46,18,6,31,146,74,51%,14,7,50%,0,0,0,15,4,0,0,0%,0,1,0,0,0.0,1.7942122186495175,1.0418006430868167,2.662379421221865,0.3472668810289389,8.45016077170418,0.8102893890675241,10.428571428571429,0.6739130434782609,17.0,17.0,48.964630225080384,0.11575562700964631,15.048231511254018,6.366559485530547,0.0,6.366559485530547,17.0,0.057877813504823156,0.8102893890675241,0.23151125401929262,0.0,
